Occurrences	Word	Length	Freq_HAL	Log_Freq_HAL	POS
2	girl	4	40,340	10.605	NN
3	glass	5	20,768	9.941	NN
1	government	10	172,375	12.057	NN
4	governor	8	6,135	8.722	NN
2	graveyard	9	3,792	8.241	NN
1	grocery	7	3,326	8.110	NN
2	group	5	284,243	12.558	NN|VB
1	hardware	8	76,178	11.241	NN
1	harvard	7	8,381	9.034	NN
1	health	6	60,950	11.018	NN
2	hike	4	2,398	7.782	VB|NN
2	hill	4	31,346	10.353	NN
2	history	7	87,544	11.380	NN
2	holy	4	27,262	10.213	JJ|NN
2	hospital	8	19,468	9.877	NN
4	hotel	5	20,364	9.922	NN
1	hundred	7	18,969	9.851	minor|NN
2	image	5	63,630	11.061	NN|VB
1	impartiality	12	196	5.278	NN
3	implement	9	15,447	9.645	VB
2	importance	10	11,694	9.367	NN
2	index	5	32,443	10.387	NN|VB
2	industry	8	56,926	10.950	NN
3	information	11	467,659	13.055	NN
1	infrastructure	14	6,007	8.701	NN
1	inmate	6	1,118	7.019	NN
2	institution	11	8,987	9.104	NN
5	insurance	9	26,430	10.182	NN
1	interest	8	90,246	11.410	NN|VB
2	interview	9	20,464	9.926	NN|VB
2	investigation	13	12,801	9.457	NN
1	investor	8	3,333	8.112	NN
2	isolation	9	3,340	8.114	NN
1	israel	6	21,007	9.953	NN
2	issue	5	117,620	11.675	NN|VB
1	jackson	7	15,948	9.677	NN
5	jaguar	6	6,258	8.742	NN
1	japanese	8	44,955	10.713	NN|JJ
1	jazz	4	13,759	9.529	NN
1	jerusalem	9	4,742	8.464	NN
1	jewel	5	1,980	7.591	NN
2	journal	7	29,244	10.283	NN
2	journey	7	6,722	8.813	NN|VB
1	keyboard	8	35,312	10.472	NN|VB
2	kilometer	9	396	5.981	NN
1	kind	4	131,849	11.789	NN
4	king	4	52,583	10.870	NN
2	laboratory	10	16,623	9.719	NN
5	lad	3	2,329	7.753	NN
3	landscape	9	3,305	8.103	NN
1	laundering	10	604	6.404	NN|VB
2	law	3	125,412	11.739	NN
2	lawyer	6	12,105	9.401	NN
1	lesson	6	8,054	8.994	NN
2	liability	9	6,978	8.851	NN
1	library	7	113,025	11.635	NN
8	life	4	219,561	12.299	NN
2	line	4	239,804	12.388	NN|VB
2	liquid	6	9,017	9.107	JJ|NN
3	listing	7	22,521	10.022	NN|VB
2	live	4	128,442	11.763	VB
3	lobster	7	849	6.744	NN
2	loss	4	30,002	10.309	NN
1	love	4	165,830	12.019	NN|VB
1	lover	5	7,081	8.865	NN
1	luxury	6	3,476	8.154	NN
1	madhouse	8	204	5.318	NN
3	magician	8	1,989	7.595	NN
1	maker	5	8,080	8.997	NN
1	mammal	6	671	6.509	NN
3	man	3	188,876	12.149	NN|VB
1	manslaughter	12	445	6.098	NN
1	marathon	8	5,900	8.683	NN
2	market	6	98,850	11.501	NN|VB
2	marriage	8	21,299	9.966	NN
1	mars	4	8,196	9.011	NN
2	match	5	35,069	10.465	NN|VB
2	medal	5	3,315	8.106	NN
5	media	5	58,004	10.968	NN
1	memorabilia	11	1,260	7.139	NN
2	metal	5	28,116	10.244	NN
1	mexico	6	27,758	10.231	NN
1	midday	6	373	5.922	NN|RB|JJ
1	mile	4	9,657	9.175	NN
1	mind	4	131,156	11.784	NN|VB
1	minister	8	22,530	10.023	NN|VB
2	ministry	8	9,402	9.149	NN
2	minority	8	13,393	9.502	NN
14	money	5	209,588	12.253	NN
5	monk	4	3,775	8.236	NN
4	month	5	76,300	11.242	NN
1	moon	4	30,689	10.332	NN|VB
4	morality	8	6,231	8.737	NN
3	mother	6	42,113	10.648	NN
2	motto	5	2,124	7.661	NN
1	mouth	5	34,157	10.439	NN
4	movie	5	61,248	11.023	NN
1	murder	6	19,075	9.856	NN|VB
1	museum	6	10,047	9.215	NN
4	music	5	134,404	11.809	NN
2	nation	6	29,567	10.294	NN
3	nature	6	51,563	10.851	NN
1	network	7	145,633	11.889	NN|VB
6	news	4	149,044	11.912	NN
3	noon	4	4,848	8.486	NN
1	number	6	283,001	12.553	NN|VB
1	nurse	5	6,640	8.801	NN|VB
1	object	6	52,354	10.866	NN
2	observation	11	9,111	9.117	NN
1	office	6	88,401	11.390	NN
1	oil	3	34,785	10.457	NN
4	opera	5	6,993	8.853	NN
2	operation	9	28,468	10.257	NN
2	oracle	6	25,785	10.158	NN
1	organism	8	76,012	11.239	NN
1	palestinian	11	2,502	7.825	JJ|NN
1	paper	5	64,005	11.067	NN|VB
1	party	5	68,745	11.138	NN|VB
1	payment	7	30,487	10.325	NN
10	peace	5	40,408	10.607	NN
1	people	6	768,168	13.552	NN|VB
1	percent	7	25,919	10.163	NN
1	performance	11	73,651	11.207	NN
1	personnel	9	18,978	9.851	NN
4	phone	5	141,619	11.861	NN|VB
